hour,downloaded
1,2272.0
3,1386.0
4,1365.0
5,1488.0
6,1337.0
7,1883.0
8,2283.0
9,1335.0
10,1025.0
11,1139.0
12,1477.0
13,1203.0
14,1311.0
15,1299.0
16,1494.0
17,1159.0
18,1365.0
19,1272.0
20,1246.0
21,1071.0
22,1876.0
24,1410.0
25,925.0
26,1533.0
27,2104.0
28,2113.0
29,1993.0
30,1045.0
31,2090.0
32,2227.0
33,1413.0
34,1718.0
35,1721.0
36,1291.0
37,1838.0
38,2540.0
39,1608.0
40,2455.0
41,1929.0
42,1767.0
43,1203.0
44,1761.0
45,1723.0
46,2160.0
47,808.0
49,1324.0
50,1809.0
51,1933.0
52,1351.0
53,2013.0
54,1207.0
55,2170.0
56,1700.0
57,1899.0
58,1757.0
59,1475.0
60,1921.0
61,1971.0
62,1809.0
63,1365.0
64,1775.0
65,1687.0
66,1706.0
67,1353.0
68,1316.0
69,1512.0
70,2430.0
71,1788.0
72,1380.0
73,1357.0
74,990.0
75,1586.0
76,2057.0
77,1690.0
78,1458.0
79,1201.0
80,1949.0
81,1493.0
82,1653.0
83,1217.0
84,1457.0
85,1179.0
86,1484.0
87,2730.0
88,1414.0
89,1060.0
90,1573.0
91,1260.0
92,1216.0
93,981.0
94,1345.0
96,1667.0
97,730.0
98,1034.0
99,1628.0
100,1155.0
101,1305.0
102,1444.0
103,2242.0
104,1842.0
105,1210.0
106,1384.0
107,1313.0
108,1508.0
109,1796.0
110,1265.0
111,1090.0
112,2159.0
113,1167.0
114,1391.0
115,1445.0
116,1196.0
117,1049.0
118,1999.0
119,472.0
120,1285.0
121,1737.0
122,1534.0
123,2636.0
124,1372.0
125,1325.0
126,833.0
127,1200.0
128,2431.0
129,1740.0
130,2121.0
131,1726.0
132,1344.0
133,1072.0
134,1386.0
135,1054.0
136,1051.0
137,1270.0
138,1857.0
139,1437.0
140,2016.0
141,1352.0
142,909.0
143,1761.0
144,1009.0
145,2035.0
146,1534.0
147,1708.0
148,733.0
149,1455.0
150,1332.0
151,1606.0
152,1065.0
153,1291.0
155,1495.0
156,1928.0
157,2249.0
158,987.0
159,1023.0
160,875.0
161,1569.0
162,1032.0
163,1079.0
164,1087.0
165,1152.0
166,961.0
167,1232.0
168,2188.0
169,1179.0
170,1475.0
171,1612.0
172,921.0
173,2432.0
174,1650.0
175,1077.0
176,823.0
177,1578.0
178,1872.0
179,1669.0
182,1407.0
183,1619.0
184,894.0
185,1948.0
186,2298.0
187,2163.0
188,1108.0
189,1731.0
190,1601.0
191,1684.0
192,2025.0
193,1688.0
194,1736.0
195,1474.0
196,1770.0
197,1348.0
198,1570.0
199,1861.0
200,1458.0
201,2282.0
202,1553.0
203,2323.0
204,1202.0
205,1768.0
206,2184.0
207,1329.0
208,1781.0
209,1242.0
211,1454.0
212,1501.0
213,875.0
214,1521.0
215,2611.0
216,1948.0
217,1707.0
218,1335.0
219,2211.0
220,1358.0
221,2501.0
222,1764.0
223,1527.0
224,1421.0
225,1949.0
226,2156.0
227,1503.0
228,1658.0
229,1032.0
230,1536.0
231,1345.0
232,2022.0
233,2035.0
234,2109.0
235,1587.0
236,1666.0
237,1064.0
238,1457.0
239,2399.0
240,1449.0
241,2406.0
242,1831.0
243,1423.0
244,1754.0
245,1641.0
246,1428.0
247,1928.0
248,1618.0
249,1361.0
250,1273.0
251,1300.0
252,997.0
253,1163.0
254,1480.0
255,2131.0
256,1833.0
257,1161.0
258,1168.0
259,1570.0
260,1675.0
261,966.0
262,1395.0
263,1638.0
264,1713.0
265,1799.0
266,1917.0
267,1894.0
268,1009.0
269,1003.0
270,1962.0
